term_ID,HPO_term_name,phecode,phecode_string
3,Multicystic kidney dysplasia,586.2,"Cyst of kidney, acquired"
8,Abnormality of female internal genitalia,"",
10,Recurrent urinary tract infections,591,Urinary tract infection
11,Neurogenic bladder,596.5,Functional disorders of bladder
12,Urinary urgency,599.9,Other abnormality of urination
13,Hypoplasia of the uterus,751.11,Congenital anomalies of female genital organs
15,Bladder diverticulum,596,Other disorders of bladder
16,Urinary retention,599.2,Retention of urine
17,Nocturia,599.5,Frequency of urination and polyuria
20,Urinary incontinence,599.4,Urinary incontinence
21,Megacystis,751.2,Congenital anomalies of urinary system
22,Abnormality of male internal genitalia,751.12,Congenital anomalies of male genital organs
23,Inguinal hernia,550.1,Inguinal hernia
24,Prostatitis,601.1,Prostatitis
25,Functional abnormality of male internal genitalia,"",
26,Male hypogonadism,257.1,Testicular hypofunction
27,Azoospermia,609.11,Azoospermia and oligospermia
28,Cryptorchidism,751.12,Congenital anomalies of male genital organs
29,Testicular atrophy,603,Other disorders of testis
31,Epididymitis,601.3,Orchitis and epididymitis
33,"Ambiguous genitalia, male",751.12,Congenital anomalies of male genital organs
34,Hydrocele testis,603.1,Hydrocele
35,Abnormality of the testis,"",
36,Abnormality of the penis,"",
37,Male pseudohermaphroditism,751.1,Congenital anomalies of genital organs
39,Epispadias,751.12,Congenital anomalies of male genital organs
40,Long penis,"",
41,Chordee,751.12,Congenital anomalies of male genital organs
42,Absent external genitalia,"",
44,Hypogonadotrophic hypogonadism,253.4,Anterior pituitary disorders
46,Scrotal hypoplasia,751.1,Congenital anomalies of genital organs
47,Hypospadias,751.12,Congenital anomalies of male genital organs
48,Bifid scrotum,751.12,Congenital anomalies of male genital organs
49,Shawl scrotum,751.12,Congenital anomalies of male genital organs
50,Hypoplastic male external genitalia,751.12,Congenital anomalies of male genital organs
51,Perineal hypospadias,751.12,Congenital anomalies of male genital organs
53,Macroorchidism,"",
54,Micropenis,751.12,Congenital anomalies of male genital organs
55,Abnormality of female external genitalia,"",
57,Clitoromegaly,623,Hypertrophy of female genital organs
59,Hypoplastic labia majora,751.11,Congenital anomalies of female genital organs
60,Clitoral hypoplasia,751.11,Congenital anomalies of female genital organs
61,"Ambiguous genitalia, female",751.11,Congenital anomalies of female genital organs
62,Ambiguous genitalia,751.1,Congenital anomalies of genital organs
63,Fused labia minora,751.11,Congenital anomalies of female genital organs
64,Hypoplastic labia minora,751.11,Congenital anomalies of female genital organs
65,Labial hypertrophy,623,Hypertrophy of female genital organs
66,Labial hypoplasia,751.11,Congenital anomalies of female genital organs
68,Urethral atresia,751.2,Congenital anomalies of urinary system
