ICD,phecode,flag
001,8,9
001.0,8,9
001.1,8,9
001.9,8,9
002,8,9
002.0,8.5,9
002.0,8,9
002.1,8,9
002.2,8,9
002.3,8,9
002.9,8,9
003,8.5,9
003,8,9
003.0,8.5,9
003.0,8,9
003.1,38.1,9
003.1,38,9
003.2,8.5,9
003.2,8,9
003.20,8.5,9
003.20,8,9
003.21,320,9
003.22,480.1,9
003.22,480,9
003.23,711,9
003.24,710.1,9
003.24,710,9
003.29,8.5,9
003.29,8,9
003.8,8.5,9
003.8,8,9
003.9,8.5,9
003.9,8,9
004,8.5,9
004,8,9
004.0,8.5,9
004.0,8,9
004.1,8.5,9
004.1,8,9
004.2,8.5,9
004.2,8,9
004.3,8.5,9
004.3,8,9
004.8,8.5,9
004.8,8,9
004.9,8.5,9
004.9,8,9
005,8.5,9
005,8,9
005.0,8.5,9
005.0,8,9
005.1,8.5,9
005.1,8,9
005.2,8.5,9
005.2,8,9
005.3,8.5,9
005.3,8,9
005.4,8.5,9
005.4,8,9
005.8,8.5,9
005.8,8,9
005.81,8.5,9
005.81,8,9
005.89,8.5,9
005.89,8,9
005.9,8,9
006,8,9
006.0,8,9
006.1,8.7,9
006.1,8,9
006.2,8,9
006.3,8,9
006.4,8,9
006.5,8,9
006.6,8,9
006.8,8,9
006.9,8,9
007,8,9
007.0,8.7,9
007.0,8,9
007.1,8.7,9
007.1,8,9
007.2,8,9
007.3,8,9
007.4,8.7,9
007.4,8,9
007.5,8,9
007.8,8.7,9
007.8,8,9
007.9,8,9
008,8,9
008.0,8.51,9
008.0,8.5,9
008.0,8,9
008.00,8.51,9
008.00,8.5,9
008.00,8,9
008.01,8.51,9
008.01,8.5,9
008.01,8,9
008.02,8.51,9
008.02,8.5,9
008.02,8,9
008.03,8.51,9
008.03,8.5,9
008.03,8,9
008.04,8.51,9
008.04,8.5,9
008.04,8,9
008.09,8.51,9
008.09,8.5,9
008.09,8,9
008.1,8.5,9
008.1,8,9
008.2,8.5,9
008.2,8,9
008.3,8.5,9
008.3,8,9
008.4,8.5,9
008.4,8,9
008.41,8.5,9
008.41,8,9
008.42,8.5,9
008.42,8,9
008.43,8.5,9
008.43,8,9
008.44,8.5,9
008.44,8,9
008.45,8.52,9
008.45,8.5,9
008.45,8,9
008.46,8.5,9
008.46,8,9
008.47,8.5,9
008.47,8,9
008.49,8.5,9
008.49,8,9
008.5,8.5,9
008.5,8,9
008.6,8.6,9
008.6,8,9
008.61,8.6,9
008.61,8,9
008.62,8.6,9
008.62,8,9
008.63,8.6,9
008.63,8,9
008.64,8.6,9
008.64,8,9
008.65,8.6,9
008.65,8,9
008.66,8.6,9
008.66,8,9
008.67,8.6,9
008.67,8,9
008.69,8.6,9
008.69,8,9
008.8,8.6,9
008.8,8,9
009,8,9
009.0,8,9
009.1,8,9
009.2,8,9
009.3,8,9
010,10,9
010.0,10,9
010.00,10,9
010.01,10,9
010.02,10,9
010.03,10,9
010.04,10,9
010.05,10,9
010.06,10,9
010.1,10,9
010.10,10,9
010.11,10,9
010.12,10,9
010.13,10,9
010.14,10,9
010.15,10,9
010.16,10,9
010.8,10,9
010.80,10,9
010.81,10,9
010.82,10,9
010.83,10,9
010.84,10,9
010.85,10,9
010.86,10,9
010.9,10,9
010.90,10,9
010.91,10,9
010.92,10,9
010.93,10,9
010.94,10,9
010.95,10,9
010.96,10,9
011,10,9
011.0,10,9
011.00,10,9
011.01,10,9
011.02,10,9
011.03,10,9
011.04,10,9
011.05,10,9
011.06,10,9
011.1,10,9
011.10,10,9
011.11,10,9
011.12,10,9
011.13,10,9
011.14,10,9
011.15,10,9
011.16,10,9
011.2,10,9
011.20,10,9
011.21,10,9
011.22,10,9
011.23,10,9
011.24,10,9
011.25,10,9
011.26,10,9
011.3,10,9
011.30,10,9
011.31,10,9
011.32,10,9
011.33,10,9
011.34,10,9
011.35,10,9
011.36,10,9
011.4,10,9
011.40,10,9
011.41,10,9
011.42,10,9
011.43,10,9
011.44,10,9
011.45,10,9
011.46,10,9
011.5,10,9
011.50,10,9
011.51,10,9
011.52,10,9
011.53,10,9
011.54,10,9
011.55,10,9
011.56,10,9
011.6,10,9
011.60,10,9
011.61,10,9
011.62,10,9
011.63,10,9
011.64,10,9
011.65,10,9
011.66,10,9
011.7,10,9
011.70,10,9
011.71,10,9
011.72,10,9
011.73,10,9
011.74,10,9
011.75,10,9
011.76,10,9
011.8,10,9
011.80,10,9
011.81,10,9
011.82,10,9
011.83,10,9
011.84,10,9
011.85,10,9
011.86,10,9
011.9,10,9
011.90,10,9
011.91,10,9
011.92,10,9
011.93,10,9
011.94,10,9
011.95,10,9
011.96,10,9
012,10,9
012.0,10,9
012.00,10,9
012.01,10,9
012.02,10,9
012.03,10,9
012.04,10,9
012.05,10,9
012.06,10,9
012.1,10,9
012.10,10,9
012.11,10,9
012.12,10,9
012.13,10,9
012.14,10,9
012.15,10,9
012.16,10,9
012.2,10,9
012.20,10,9
012.21,10,9
012.22,10,9
012.23,10,9
012.24,10,9
012.25,10,9
012.26,10,9
012.3,10,9
012.30,10,9
012.31,10,9
012.32,10,9
012.33,10,9
012.34,10,9
012.35,10,9
012.36,10,9
012.8,10,9
012.80,10,9
012.81,10,9
012.82,10,9
012.83,10,9
012.84,10,9
012.85,10,9
012.86,10,9
013,10,9
013.0,10,9
013.00,10,9
013.01,10,9
013.02,10,9
013.03,10,9
013.04,10,9
013.05,10,9
013.06,10,9
013.1,10,9
013.10,10,9
013.11,10,9
013.12,10,9
013.13,10,9
013.14,10,9
013.15,10,9
013.16,10,9
013.2,10,9
013.20,10,9
013.21,10,9
013.22,10,9
013.23,10,9
013.24,10,9
013.25,10,9
013.26,10,9
013.3,10,9
013.30,10,9
013.31,10,9
013.32,10,9
013.33,10,9
013.34,10,9
013.35,10,9
013.36,10,9
013.4,10,9
013.40,10,9
013.41,10,9
013.42,10,9
013.43,10,9
013.44,10,9
013.45,10,9
013.46,10,9
013.5,10,9
013.50,10,9
013.51,10,9
013.52,10,9
013.53,10,9
013.54,10,9
013.55,10,9
013.56,10,9
013.6,10,9
013.60,10,9
013.61,10,9
013.62,10,9
013.63,10,9
013.64,10,9
013.65,10,9
013.66,10,9
013.8,10,9
013.80,10,9
013.81,10,9
013.82,10,9
013.83,10,9
013.84,10,9
013.85,10,9
013.86,10,9
013.9,10,9
013.90,10,9
013.91,10,9
013.92,10,9
013.93,10,9
013.94,10,9
013.95,10,9
013.96,10,9
014,10,9
014.0,10,9
014.00,10,9
014.01,10,9
014.02,10,9
014.03,10,9
014.04,10,9
014.05,10,9
014.06,10,9
014.8,10,9
014.80,10,9
014.81,10,9
014.82,10,9
014.83,10,9
014.84,10,9
014.85,10,9
014.86,10,9
015,10,9
015.0,10,9
015.00,10,9
015.01,10,9
015.02,10,9
015.03,10,9
015.04,10,9
015.05,10,9
015.06,10,9
015.1,10,9
015.10,10,9
015.11,10,9
015.12,10,9
015.13,10,9
015.14,10,9
015.15,10,9
015.16,10,9
015.2,10,9
015.20,10,9
015.21,10,9
015.22,10,9
015.23,10,9
015.24,10,9
015.25,10,9
015.26,10,9
015.5,10,9
015.50,10,9
015.51,10,9
015.52,10,9
015.53,10,9
015.54,10,9
015.55,10,9
015.56,10,9
015.6,10,9
015.60,10,9
015.61,10,9
015.62,10,9
015.63,10,9
015.64,10,9
015.65,10,9
015.66,10,9
015.7,10,9
015.70,10,9
015.71,10,9
015.72,10,9
015.73,10,9
015.74,10,9
015.75,10,9
015.76,10,9
015.8,10,9
015.80,10,9
015.81,10,9
015.82,10,9
015.83,10,9
015.84,10,9
015.85,10,9
015.86,10,9
015.9,10,9
015.90,10,9
015.91,10,9
015.92,10,9
015.93,10,9
015.94,10,9
015.95,10,9
015.96,10,9
016,10,9
016.0,10,9
016.00,10,9
016.01,10,9
016.02,10,9
016.03,10,9
016.04,10,9
016.05,10,9
016.06,10,9
016.1,10,9
016.10,10,9
016.11,10,9
016.12,10,9
016.13,10,9
016.14,10,9
016.15,10,9
016.16,10,9
016.2,10,9
016.20,10,9
016.21,10,9
016.22,10,9
016.23,10,9
016.24,10,9
016.25,10,9
016.26,10,9
016.3,10,9
016.30,10,9
016.31,10,9
016.32,10,9
016.33,10,9
016.34,10,9
016.35,10,9
016.36,10,9
016.4,10,9
016.40,10,9
016.41,10,9
016.42,10,9
016.43,10,9
016.44,10,9
016.45,10,9
016.46,10,9
016.5,10,9
016.50,10,9
016.51,10,9
016.52,10,9
016.53,10,9
016.54,10,9
016.55,10,9
016.56,10,9
016.6,10,9
016.60,10,9
016.61,10,9
016.62,10,9
016.63,10,9
016.64,10,9
016.65,10,9
016.66,10,9
016.7,10,9
016.70,10,9
016.71,10,9
016.72,10,9
016.73,10,9
016.74,10,9
016.75,10,9
016.76,10,9
016.9,10,9
016.90,10,9
016.91,10,9
016.92,10,9
016.93,10,9
016.94,10,9
016.95,10,9
016.96,10,9
017,10,9
017.0,10,9
017.00,10,9
017.01,10,9
017.02,10,9
017.03,10,9
017.04,10,9
017.05,10,9
017.06,10,9
017.1,10,9
017.10,10,9
017.11,10,9
017.12,10,9
017.13,10,9
017.14,10,9
017.15,10,9
017.16,10,9
017.2,10,9
017.20,10,9
017.21,10,9
017.22,10,9
017.23,10,9
017.24,10,9
017.25,10,9
017.26,10,9
017.3,10,9
017.30,10,9
017.31,10,9
017.32,10,9
017.33,10,9
017.34,10,9
017.35,10,9
017.36,10,9
017.4,10,9
017.40,10,9
017.41,10,9
017.42,10,9
017.43,10,9
017.44,10,9
017.45,10,9
017.46,10,9
017.5,10,9
017.50,10,9
017.51,10,9
017.52,10,9
017.53,10,9
017.54,10,9
017.55,10,9
017.56,10,9
017.6,10,9
017.60,10,9
017.61,10,9
017.62,10,9
017.63,10,9
017.64,10,9
017.65,10,9
017.66,10,9
017.7,10,9
017.70,10,9
017.71,10,9
017.72,10,9
017.73,10,9
017.74,10,9
017.75,10,9
017.76,10,9
017.8,10,9
017.80,10,9
017.81,10,9
017.82,10,9
017.83,10,9
017.84,10,9
017.85,10,9
017.86,10,9
017.9,10,9
017.90,10,9
017.91,10,9
017.92,10,9
017.93,10,9
017.94,10,9
017.95,10,9
017.96,10,9
018,10,9
018.0,10,9
018.00,10,9
018.01,10,9
018.02,10,9
018.03,10,9
018.04,10,9
018.05,10,9
018.06,10,9
018.8,10,9
018.80,10,9
018.81,10,9
018.82,10,9
018.83,10,9
018.84,10,9
018.85,10,9
018.86,10,9
018.9,10,9
018.90,10,9
018.91,10,9
018.92,10,9
018.93,10,9
018.94,10,9
018.95,10,9
018.96,10,9
020,41,9
020.0,41,9
020.1,686,9
020.2,38.1,9
020.2,38,9
020.3,480.1,9
020.3,480,9
020.4,480.1,9
020.4,480,9
020.5,480.1,9
020.5,480,9
020.8,41,9
020.9,41,9
021,41,9
021.0,686,9
021.1,8,9
021.2,480.1,9
021.2,480,9
021.3,369,9
021.8,41,9
021.9,41,9
022,41,9
022.0,686,9
022.1,480.1,9
022.1,480,9
022.2,8,9
022.3,38.2,9
022.3,38,9
022.8,41,9
022.9,41,9
023,41,9
023.0,41,9
023.1,41,9
023.2,41,9
023.3,41,9
023.8,41,9
023.9,41,9
024,41,9
025,41,9
026,41,9
026.0,41,9
026.1,711,9
026.9,41,9
027,41,9
027.0,41,9
027.1,41,9
027.2,41,9
027.8,41,9
027.9,41,9
030,31.1,9
030,31,9
030.0,31.1,9
030.0,31,9
030.1,31.1,9
030.1,31,9
030.2,31.1,9
030.2,31,9
030.3,31.1,9
030.3,31,9
030.8,31.1,9
030.8,31,9
030.9,31.1,9
030.9,31,9
031,31,9
031.0,480.1,9
031.0,480,9
031.1,686,9
031.2,31,9
031.8,31,9
031.9,31,9
032,41,9
032.0,465,9
032.1,465,9
032.2,465,9
032.3,465,9
032.8,41,9
032.81,369,9
032.82,420.1,9
032.82,420,9
032.83,567,9
032.84,592.1,9
032.84,592,9
032.85,686,9
032.89,41,9
032.9,41,9
033,41,9
033.0,41,9
033.1,41,9
033.8,41,9
033.9,41,9
034,41.2,9
034,41,9
034.0,465,9
034.1,41.2,9
034.1,41,9
035,686,9
036,41,9
036.0,320,9
036.1,323,9
036.2,38.1,9
036.2,38,9
036.3,41,9
036.4,420,9
036.40,420,9
036.41,420.2,9
036.41,420,9
036.42,420.3,9
036.42,420,9
036.43,420.1,9
036.43,420,9
036.8,41,9
036.81,41,9
036.82,711,9
036.89,41,9
036.9,41,9
037,41,9
038,38,9
038.0,38.1,9
038.0,38,9
