filename,line_number,message,line
R/genetic_association.R,56,Variable and function name style should be camelCase.,diseaseId = disease_id = snp = allele_count = count = N = vid = person_id = NULL
R/genetic_association.R,68,Variable and function name style should be camelCase.,"lmInput[, person_id := as.character(person_id)]"
R/genetic_association.R,102,Variable and function name style should be camelCase.,ci_lower = melt = pval = se = ci_upper = allele_count = varName = n_het =
R/genetic_association.R,103,Variable and function name style should be camelCase.,n_hom = n_total = n_wt = NULL
R/genetic_association.R,111,Variable and function name style should be camelCase.,"lmInput1[allele_count == 2, allele_count := 1]}"
R/genetic_association.R,114,Variable and function name style should be camelCase.,"lmInput1[allele_count == 1, allele_count := 0]"
R/genetic_association.R,115,Variable and function name style should be camelCase.,"lmInput1[allele_count == 2, allele_count := 1]}"
R/genetic_association.R,118,Variable and function name style should be camelCase.,"lmInput1[, allele_count := as.factor(allele_count)]"
R/genetic_association.R,135,Variable and function name style should be camelCase.,"glmStat[, ci_lower := ci[1L]]"
R/genetic_association.R,136,Variable and function name style should be camelCase.,"glmStat[, ci_upper := ci[2L]]}"
R/genetic_diagnosis.R,29,Variable and function name style should be camelCase.,dx_status = entry_date = uniq_dates = . = NULL
R/genetic_diagnosis.R,44,Variable and function name style should be camelCase.,"dxIcd[, dx_status := -1L]"
R/genetic_diagnosis.R,45,Variable and function name style should be camelCase.,"dxIcd[uniq_dates >= minUniqueDates, dx_status := 1L]"
R/genetic_diagnosis.R,51,Variable and function name style should be camelCase.,"dxStatus[is.na(dx_status), dx_status := 0L]"
R/phers.R,37,Variable and function name style should be camelCase.,flag = icd = person_id = . = NULL
R/phers.R,77,Variable and function name style should be camelCase.,phecode = person_id = . = prev = w = NULL
R/phers.R,114,Variable and function name style should be camelCase.,person_id = phecode = disease_id = w = score = . = NULL
R/phers.R,158,Variable and function name style should be camelCase.,disease_id = diseaseId = resid_score = . = person_id = score = NULL
R/utils.R,138,Variable and function name style should be camelCase.,n_het = n_hom = n_wt = NULL
R/utils.R,140,Variable and function name style should be camelCase.,"dCounts[, n_wt := sum(lmInput$allele_count == 0)]"
R/utils.R,141,Variable and function name style should be camelCase.,"dCounts[, n_het := sum(lmInput$allele_count == 1)]"
R/utils.R,142,Variable and function name style should be camelCase.,"dCounts[, n_hom := sum(lmInput$allele_count == 2)]"
data-raw/phers_create_data.R,88,Variable and function name style should be camelCase.,"icdSampleAll[, entry_date := sample(entryDates, nrow(icdSampleAll))]"
data-raw/phers_create_data.R,95,Variable and function name style should be camelCase.,"icdSampleMarfan[, entry_date := sample(entryDates, nrow(icdSampleMarfan))]"
